,enthusiasm,urgency,surprise,trust,curiosity,greed,exclusivity,other,dominant topic,sum,subject lines
0,0.9994403792527927,3.737249901746747e-05,3.482610851134626e-05,8.354379926565404e-05,0.00011977690731057814,0.00010324573861390474,7.924123768395316e-05,0.00010161445680457711,enthusiasm,1.0000000000000002,Event for Freshmen: Discover career opportunities in STEM & Business!
1,0.0003490630181424911,2.9902442358413208e-05,0.0002980653449687439,0.956981178237153,0.00027228078512165683,9.282462210530457e-05,0.00014987618096315127,0.04182680936918729,trust,1.0000000000000002,Complete your setup with the Slack desktop app
2,0.006371998881375032,0.002379441091145768,0.9808586722067388,0.001974406432334317,0.0005956992831803789,0.00388780884279896,0.001178192610008185,0.0027537806524185193,surprise,0.9999999999999999,Are you ready to play?
3,0.00014101181579812203,6.08303212706429e-05,0.7705447600331504,0.009764105199047312,0.21913492181562805,8.534623840602256e-05,0.00011075261316110826,0.0001582719635384888,surprise,1.0000000000000002,"Gadabout - plus, Go behind the scenes of our new words"
4,0.48777130208573044,0.00024855240618221343,0.00048094758761044014,0.16336329187225435,0.00012862317571044217,0.0001360287152380849,0.34767936757559365,0.00019188658168044976,enthusiasm,1.0,General Registration is now open for Winter/Spring!
5,0.000182588773930339,4.178170096431468e-05,8.6518246268357e-05,0.00027401016787410447,0.00010321868175144379,8.36308415467897e-05,5.552229669724738e-05,0.9991727292909671,other,0.9999999999999997,"Voracious - plus, A Guide to Pluralizing Foreign Borrowings"
6,0.001496008609344275,0.0011602676480197277,0.001023176206851086,0.007831007470342445,0.5605447445569105,0.0003867335367032223,0.4266673780870217,0.0008906838848070457,curiosity,1.0,The 3 best-kept secrets at Course Hero
7,3.496250441513816e-05,2.7193301907570133e-05,4.594124792655371e-05,0.08588756411020128,0.7227212075966154,3.1090803872376084e-05,0.191212950388117,3.909004694463965e-05,curiosity,1.0,A global bank that doubles as a cybersecurity powerhouse? Count us in!
8,6.779359730646563e-05,2.8570181785947463e-05,4.8183758276730464e-05,0.9995347736592024,0.00020356105369617077,5.500556738528954e-05,3.548063556916344e-05,2.6631546777747824e-05,trust,0.9999999999999998,"Prothalamion - plus, What's the longest word in the dictionary?"
9,0.9966131842344913,0.000623684405981604,0.0004898023649169127,0.0010054062112222863,0.0003156888820534504,6.672161428525596e-05,3.7608647949547386e-05,0.00084790363909969,enthusiasm,1.0,The next biggest thing
10,1.3348070276105087e-05,1.1609965663342397e-05,0.0008188993277991124,1.340638134284012e-05,1.3625746365960447e-05,0.0009096418290281408,0.9972651702174512,0.000954298462073467,exclusivity,1.0000000000000002,We have another Chrome extension
11,0.00039189193789989317,0.003730650340569401,0.0031906908338428393,0.0005821129656567441,0.000114237034829379,0.9866115850876811,0.00023906277298396442,0.005139769026536565,greed,0.9999999999999998,Read free for 30 days
12,0.00047596943353010366,9.573343842623881e-05,3.3837352410998795e-05,8.621875525574196e-05,0.0003235659470829423,0.0011888821969478192,2.1096780833234157e-05,0.997774696095513,other,1.0,Tanish: check out this Care Giver job & more top job matches for you!
13,1.4483363046289803e-05,1.2596611754166189e-05,0.0007397137721577477,0.0002581353344729412,0.0005657567511149418,1.4909397782620862e-05,1.470486913981945e-05,0.9983796999005313,other,0.9999999999999999,needs your advice on BearX
14,3.229266215533356e-05,0.0011280042203844444,0.00014903408192001803,0.00010196820646657045,1.7329920130702584e-05,0.998489497580238,2.2472351749528438e-05,5.940097695544641e-05,greed,1.0,$32K Scholarship Giveaway Expires TONIGHT!
15,0.000181346957650105,0.9975710288790383,0.0007963147451069669,0.0009235652182469871,0.00013670375319685513,0.0001847866345105432,0.00010319570842823019,0.00010305810382199129,urgency,0.9999999999999999,One day only: Subscribe for $1 a week.
16,0.0002361006226983962,0.00021492902021885186,0.0001870233776463471,0.00038284324408945883,0.0008867360037064248,0.9978751668907899,0.00015106000623800174,6.614083461251917e-05,greed,0.9999999999999999,"Happy February - Come check out the newest startup jobs curated just
 for you!"
17,3.766145453254916e-05,1.6642672334407377e-05,4.604402782284263e-06,0.9998608667198536,4.8093148809163495e-06,4.949225365066478e-05,4.783282210899121e-06,2.1139899754492634e-05,trust,0.9999999999999999,Drop #5: TuMeke - Computer Vision for Safer Factories
18,0.0001251311314910936,7.414031775279801e-05,0.00010716486933338099,0.31423533376944546,0.00010806147458887729,0.685272128808608,3.952332703087607e-05,3.851630174959926e-05,greed,1.0,"Happy 2021!! Reward yourself with helpful startup tips & strategies.
 Learn how to keep your alumni engaged!"
19,0.00030394438364706296,0.000144708602239849,0.00019698170686238386,0.00024335735386204018,0.0001998263423972341,0.9987613484409359,7.598242680651714e-05,7.385074324895711e-05,greed,0.9999999999999999,Add your resume and apply in one-click
20,0.00016356137378261188,0.00013821667316601724,5.269498977373537e-05,5.3195259257055665e-05,0.00042823118435707057,0.9989412201016188,9.277317486050376e-05,0.0001301072431840454,greed,0.9999999999999998,Jobs are not Compromised- NEW OPENINGS 9th May
21,2.4737193360434032e-05,0.000310138197509431,2.8627651879285705e-05,0.22209741453338727,1.1278268179731163e-05,0.777021593205685,1.1216876724989364e-05,0.0004949940732738207,greed,0.9999999999999999,CS 61A Exam Proctoring Link & PDF
22,1.277111810355981e-05,2.011773590734651e-05,0.9995806285597828,4.8349665033208496e-05,0.00023159923228835828,6.546724764925141e-05,1.0722163102781169e-05,3.0344278132854546e-05,surprise,1.0,"January's Hot Jobs: 34 Full-Time, 51 Part-Time, 100+ Internships!"
